City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Pinsk,BY,2022-07-19 17:56:17,52.1229,26.0951,64.15,78,25,4.9
223,Lorengau,PG,2022-07-19 17:56:17,-2.0226,147.2712,80.69,78,100,5.39
224,Camacupa,AO,2022-07-19 17:56:17,-12.0167,17.4833,64.42,33,2,2.24
225,Longyearbyen,SJ,2022-07-19 17:56:17,78.2186,15.6401,51.64,82,40,3.44
226,Grand Gaube,MU,2022-07-19 17:56:17,-20.0064,57.6608,71.38,65,16,10.0
227,Maracas,BR,2022-07-19 17:55:36,-13.4411,-40.4308,72.45,50,68,10.2
228,Nizhniy Bestyakh,RU,2022-07-19 17:56:18,61.9594,129.9086,62.08,88,88,4.47
229,Saint George,US,2022-07-19 17:56:18,37.1041,-113.5841,101.62,23,2,3.0
230,Cabatuan,PH,2022-07-19 17:56:18,10.8794,122.486,76.28,91,99,3.11
231,Ponta Do Sol,PT,2022-07-19 17:56:18,32.6667,-17.1,76.71,70,0,7.54
232,Nalut,LY,2022-07-19 17:56:19,30.3333,10.85,92.28,14,0,9.28
233,Aksay,RU,2022-07-19 17:55:11,47.26,39.87,73.62,32,0,6.13
234,Shitanjing,CN,2022-07-19 17:56:19,39.2342,106.3439,64.8,58,22,7.07
235,Ust-Kuyga,RU,2022-07-19 17:56:19,70.0167,135.6,40.01,88,100,17.98
236,Bani Walid,LY,2022-07-19 17:56:19,31.7566,13.9942,84.63,37,0,18.61
237,Broken Hill,AU,2022-07-19 17:56:19,-31.95,141.4333,42.33,62,35,8.43
238,Kodiak,US,2022-07-19 17:56:20,57.79,-152.4072,52.41,83,85,2.89
239,Narsaq,GL,2022-07-19 17:56:20,60.9167,-46.05,50.59,80,100,4.32
240,Nikki,BJ,2022-07-19 17:56:20,9.9401,3.2108,76.93,68,97,6.87
241,Cairns,AU,2022-07-19 17:56:20,-16.9167,145.7667,64.06,85,13,11.5
242,Pamanukan,ID,2022-07-19 17:56:20,-6.2842,107.8106,76.32,89,23,5.91
243,Vasvar,HU,2022-07-19 17:56:20,47.0493,16.7995,83.21,34,0,6.82
244,Taoudenni,ML,2022-07-19 17:56:20,22.6783,-3.9836,111.06,6,1,5.32
245,Haines Junction,CA,2022-07-19 17:56:20,60.7522,-137.5108,57.15,58,85,2.3
246,Bage,BR,2022-07-19 17:56:20,-31.3314,-54.1069,64.18,48,0,8.05
247,Georgetown,MY,2022-07-19 17:51:45,5.4112,100.3354,80.53,95,20,1.14
248,Rujewa,TZ,2022-07-19 17:56:21,-8.7,34.3833,65.35,57,22,11.5
249,Mankera,PK,2022-07-19 17:56:21,31.3866,71.4407,101.28,36,5,16.08
250,Virginia Beach,US,2022-07-19 17:53:17,36.8529,-75.978,93.02,64,75,9.22
251,Baillif,GP,2022-07-19 17:56:21,16.0202,-61.7463,88.65,69,7,11.81
252,Tabriz,IR,2022-07-19 17:52:48,38.08,46.2919,87.26,22,20,4.61
253,Kameoka,JP,2022-07-19 17:56:21,35.0,135.5833,77.68,97,67,1.01
254,Tsotilion,GR,2022-07-19 17:56:21,40.2667,21.3167,74.77,47,15,5.97
255,Esperance,AU,2022-07-19 17:56:21,-33.8667,121.9,53.64,89,78,13.27
256,Salinopolis,BR,2022-07-19 17:56:22,-0.6136,-47.3561,81.45,80,33,11.56
257,Buka,UZ,2022-07-19 17:56:22,40.8108,69.1986,78.44,26,0,4.43
258,Svoge,BG,2022-07-19 17:56:22,42.9667,23.35,77.7,42,2,4.18
259,Vao,NC,2022-07-19 17:56:22,-22.6667,167.4833,73.54,88,95,17.09
260,Iraray,PH,2022-07-19 17:56:22,8.9936,118.0511,78.46,83,81,1.79
261,Makat,KZ,2022-07-19 17:56:22,47.6469,53.3463,84.16,27,43,19.55
262,Srednekolymsk,RU,2022-07-19 17:56:22,67.45,153.6833,40.15,65,79,8.95
263,Batagay-Alyta,RU,2022-07-19 17:56:22,67.8006,130.4114,37.99,96,100,5.41
264,Hambantota,LK,2022-07-19 17:56:23,6.1241,81.1185,78.82,86,100,10.33
265,Shamsabad,IN,2022-07-19 17:56:23,27.0167,78.1333,98.71,39,97,4.16
266,San Rafael Del Sur,NI,2022-07-19 17:56:23,11.8485,-86.4384,83.37,66,80,16.33
267,Kibala,TD,2022-07-19 17:56:23,9.1104,18.3463,73.08,93,100,3.83
268,Dzhebariki-Khaya,RU,2022-07-19 17:56:23,62.2167,135.8,65.35,65,90,2.98
269,Pandan,PH,2022-07-19 17:56:23,14.0453,124.1694,81.12,84,60,7.18
270,Northam,GB,2022-07-19 17:56:23,51.0333,-4.2167,71.38,77,63,16.24
271,Leonidovo,RU,2022-07-19 17:56:23,49.2833,142.8667,54.79,99,100,2.42
272,Hualmay,PE,2022-07-19 17:56:23,-11.0964,-77.6139,66.38,72,90,9.19
273,Tezu,IN,2022-07-19 17:56:23,27.9167,96.1667,76.12,99,100,3.2
274,San Policarpo,PH,2022-07-19 17:56:24,12.1791,125.5072,82.81,80,47,9.37
275,Eyl,SO,2022-07-19 17:56:24,7.9803,49.8164,76.66,77,70,30.67
276,Pingliang,CN,2022-07-19 17:51:58,35.5392,106.6861,58.71,88,2,3.29
277,Stephenville Crossing,CA,2022-07-19 17:56:24,48.5,-58.4318,69.22,94,100,11.5
278,Akdepe,TM,2022-07-19 17:56:24,42.0551,59.3788,93.29,21,0,11.01
279,Odweyne,SO,2022-07-19 17:56:24,9.4092,45.064,76.01,46,92,19.93
280,Liverpool,GB,2022-07-19 17:51:33,53.4106,-2.9779,88.9,40,0,8.05
281,Sao Felix Do Xingu,BR,2022-07-19 17:56:25,-6.6447,-51.995,94.71,27,53,3.06
282,Endicott,US,2022-07-19 17:56:25,42.0984,-76.0494,91.36,52,0,11.01
283,Taltal,CL,2022-07-19 17:56:25,-25.4,-70.4833,63.64,64,7,4.7
